Symbol,Name,LastSale,MarketCap,IPOyear,Sector,industry,Summary Quote
PIH,"1347 Property Insurance Holdings, Inc.",7.5,$44.68M,2014,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/pih
TURN,180 Degree Capital Corp.,1.66,$51.66M,n/a,Finance,Finance/Investors Services,http://www.nasdaq.com/symbol/turn
FLWS,"1-800 FLOWERS.COM, Inc.",9.725,$630.95M,1999,Consumer Services,Other Specialty Stores,http://www.nasdaq.com/symbol/flws
FCCY,1st Constitution Bancorp (NJ),18.4,$148.47M,n/a,Finance,Savings Institutions,http://www.nasdaq.com/symbol/fccy
SRCE,1st Source Corporation,48.4,$1.26B,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/srce
VNET,"21Vianet Group, Inc.",6.16,$693M,2011,Technology,"Computer Software: Programming, Data Processing",http://www.nasdaq.com/symbol/vnet
XXII,"22nd Century Group, Inc",2.62,$269.23M,n/a,Consumer Non-Durables,Farming/Seeds/Milling,http://www.nasdaq.com/symbol/xxii
TWOU,"2U, Inc.",54.94,$2.63B,2014,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/twou
DDD,3D Systems Corporation,13.5,$1.54B,n/a,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/ddd
MMM,3M Company,210.76,$125.77B,n/a,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/mmm
WBAI,500.com Limited,11.23,$457.82M,2013,Consumer Services,Services-Misc. Amusement & Recreation,http://www.nasdaq.com/symbol/wbai
JOBS,"51job, Inc.",61.63,$3.78B,2004,Technology,Diversified Commercial Services,http://www.nasdaq.com/symbol/jobs
WUBA,58.com Inc.,66.78,$9.72B,2013,Technology,"Computer Software: Programming, Data Processing",http://www.nasdaq.com/symbol/wuba
CAFD,8point3 Energy Partners LP,14.76,$1.17B,2015,Public Utilities,Electric Utilities: Central,http://www.nasdaq.com/symbol/cafd
EGHT,8x8 Inc,13.3,$1.22B,n/a,Public Utilities,Telecommunications Equipment,http://www.nasdaq.com/symbol/eght
AVHI,"A V Homes, Inc.",16.6,$372.76M,n/a,Capital Goods,Homebuilding,http://www.nasdaq.com/symbol/avhi
SHLM,"A. Schulman, Inc.",34.1,$1B,1972,Basic Industries,Major Chemicals,http://www.nasdaq.com/symbol/shlm
AHC,A.H. Belo Corporation,4.45,$96.8M,n/a,Consumer Services,Newspapers/Magazines,http://www.nasdaq.com/symbol/ahc
ATEN,"A10 Networks, Inc.",6.71,$474.84M,2014,Technology,Computer Communications Equipment,http://www.nasdaq.com/symbol/aten
AAC,"AAC Holdings, Inc.",9.77,$235.07M,2014,Health Care,Medical Specialities,http://www.nasdaq.com/symbol/aac
AAON,"AAON, Inc.",33.3,$1.75B,n/a,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/aaon
AIR,AAR Corp.,36.94,$1.28B,n/a,Capital Goods,Aerospace,http://www.nasdaq.com/symbol/air
AAN,"Aaron&#39;s,  Inc.",39.03,$2.83B,n/a,Technology,Diversified Commercial Services,http://www.nasdaq.com/symbol/aan
ABAX,"ABAXIS, Inc.",44.85,$1.02B,1992,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/abax
ABB,ABB Ltd,24.73,$52.77B,n/a,Consumer Durables,Electrical Products,http://www.nasdaq.com/symbol/abb
ABT,Abbott Laboratories,52.51,$91.23B,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/abt
